Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Sum_of_Opportunities__c,Potential_Value__c
001dM00000HE7HoQAL,False,,GenePoint,Customer - Channel,,"345 Shoreline Park
Mountain View, CA 94043
USA",Mountain View,CA,,,,,,"OrderedDict([('city', 'Mountain View'), ('country', None), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'CA'), ('street', '345 Shoreline Park\nMountain View, CA 94043\nUSA')])","345 Shoreline Park
Mountain View, CA 94043
USA",,,,,,,,"OrderedDict([('city', None), ('country', None), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', None), ('street', '345 Shoreline Park\nMountain View, CA 94043\nUSA')])",(650) 867-3450,(650) 867-9895,CC978213,www.genepoint.com,/services/images/photo/001dM00000HE7HoQAL,3712,Biotechnology,30000000.0,265.0,Private,,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,Cold,,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,,2024-07-23T12:55:56.000+0000,2024-07-23T12:55:56.000+0000,,,Pending,,,,,,,,,Low,Bronze,Yes,1.0,Yes,7324,2024-02-04,175000.0,175000.0
001dM00000HE7HpQAL,False,,sForce,,,The Landmark @ One Market,San Francisco,CA,94087,US,,,,"OrderedDict([('city', 'San Francisco'), ('country', 'US'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', '94087'), ('state', 'CA'), ('street', 'The Landmark @ One Market')])",,,,,,,,,,(415) 901-7000,(415) 901-7002,,www.sforce.com,/services/images/photo/001dM00000HE7HpQAL,,,,,,,,,,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,,,,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000HE7HqQAL,False,,Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000HE7HqQAL,,,,,,,,,,005dM000004WWvKQAW,2024-07-10T05:50:30.000+0000,005dM000004WWvKQAW,2024-07-10T05:50:30.000+0000,005dM000004WWvKQAW,2024-07-10T05:50:30.000+0000,,,,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000KKgytQAD,False,,Test 23072024,,,,,,,,,,,,,,,,,,,,,,,1234567h,,/services/images/photo/001dM00000KKgytQAD,,,,,,,,,,005dM000004WE3FQAW,2024-07-23T12:57:13.000+0000,005dM000004WE3FQAW,2024-07-23T12:57:13.000+0000,005dM000004WE3FQAW,2024-07-23T12:57:13.000+0000,,2024-07-24T08:55:39.000+0000,2024-07-24T08:55:39.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000Lik4gQAB,False,,new account inserted,,,,,,,,,,,,,,,,,,,,,,,12345678,,/services/images/photo/001dM00000Lik4gQAB,,,,,,,,,,005dM000004WE3FQAW,2024-08-01T06:50:43.000+0000,005dM000004WE3FQAW,2024-08-12T09:56:30.000+0000,005dM000004WE3FQAW,2024-08-12T09:56:30.000+0000,,2024-08-12T10:27:17.000+0000,2024-08-12T10:27:17.000+0000,,,Pending,,,,,,,,,,,Yes,,,,,0.0,0.0
001dM00000TLMNAQA5,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TLMNAQA5,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:46.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:46.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:46.000+0000,,2024-09-09T06:32:46.000+0000,2024-09-09T06:32:46.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TLSSEQA5,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TLSSEQA5,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,,2024-09-09T06:32:15.000+0000,2024-09-09T06:32:15.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TLrDWQA1,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TLrDWQA1,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,,2024-09-09T06:32:15.000+0000,2024-09-09T06:32:15.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TLwhrQAD,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TLwhrQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:49:53.000+0000,,2024-09-09T09:49:53.000+0000,2024-09-09T09:49:53.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TLxgPQAT,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TLxgPQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:15.000+0000,,2024-09-09T06:32:15.000+0000,2024-09-09T06:32:15.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TM9xFQAT,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TM9xFQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,,2024-09-09T06:32:47.000+0000,2024-09-09T06:32:47.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMAWIQA5,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMAWIQA5,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:46.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:46.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:46.000+0000,,2024-09-09T06:32:46.000+0000,2024-09-09T06:32:46.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMAXtQAP,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMAXtQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:13.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:13.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:13.000+0000,,2024-09-09T06:32:13.000+0000,2024-09-09T06:32:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMAZVQA5,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMAZVQA5,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:14.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:14.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:14.000+0000,,2024-09-09T06:32:14.000+0000,2024-09-09T06:32:14.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMB2XQAX,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMB2XQAX,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,,2024-09-09T06:32:47.000+0000,2024-09-09T06:32:47.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMBIfQAP,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMBIfQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,005dM000004WE3FQAW,2024-09-09T06:32:47.000+0000,,2024-09-09T06:32:47.000+0000,2024-09-09T06:32:47.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMDNxQAP,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMDNxQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,,2024-09-09T09:08:53.000+0000,2024-09-09T09:08:53.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TMyHnQAL,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TMyHnQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,,2024-09-09T09:03:57.000+0000,2024-09-09T09:03:57.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN1AqQAL,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN1AqQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:53.000+0000,,2024-09-09T09:08:53.000+0000,2024-09-09T09:08:53.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN1ArQAL,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN1ArQAL,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:10:13.000+0000,,2024-09-09T09:10:13.000+0000,2024-09-09T09:10:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN4cLQAT,False,,Retail Account2,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN4cLQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,,2024-09-09T09:03:57.000+0000,2024-09-09T09:03:57.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN4rqQAD,False,,Retail Account5,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN4rqQAD,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:51:40.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:40.000+0000,005dM000004WE3FQAW,2024-09-09T09:51:40.000+0000,,2024-09-09T09:51:40.000+0000,2024-09-09T09:51:40.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TN7oVQAT,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TN7oVQAT,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,005dM000004WE3FQAW,2024-09-09T09:03:57.000+0000,,2024-09-09T09:03:57.000+0000,2024-09-09T09:03:57.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNAHKQA5,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNAHKQA5,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:38.000+0000,,2024-09-09T09:15:38.000+0000,2024-09-09T09:15:38.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNAIxQAP,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNAIxQAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:02:25.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:25.000+0000,005dM000004WE3FQAW,2024-09-09T09:02:25.000+0000,,2024-09-09T09:02:25.000+0000,2024-09-09T09:02:25.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNEw5QAH,False,,Retail Account3,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNEw5QAH,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,005dM000004WE3FQAW,2024-09-09T09:09:13.000+0000,,2024-09-09T09:09:13.000+0000,2024-09-09T09:09:13.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNHzMQAX,False,,Retail Account4,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNHzMQAX,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,005dM000004WE3FQAW,2024-09-09T09:08:54.000+0000,,2024-09-09T09:08:54.000+0000,2024-09-09T09:08:54.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
001dM00000TNKN8QAP,False,,Retail Account1,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001dM00000TNKN8QAP,,,,,,,,,,005dM000004WE3FQAW,2024-09-09T09:15:37.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:37.000+0000,005dM000004WE3FQAW,2024-09-09T09:15:37.000+0000,,2024-09-09T09:15:37.000+0000,2024-09-09T09:15:37.000+0000,,,Pending,,,,,,,,,,,,,,,,0.0,0.0
