Id,MetricsDate,UserId,PageName,SystemModstamp,RecordCountEPT,TotalCount,SumEPT,EptBinUnder3,EptBin3To5,EptBin5To8,EptBin8To10,EptBinOver10,CoresBinUnder2,CoresBin2To4,CoresBin4To8,CoresBinOver8,DownlinkBinUnder3,DownlinkBin3To5,DownlinkBin5To8,DownlinkBin8To10,DownlinkBinOver10,RttBinUnder50,RttBin50To150,RttBinOver150
0U5dM000000EC9QSAW,2024-07-10,005dM000004WE3FQAW,objectManager:setupAlohaPage,2024-07-11T04:10:38Z,4,5,5111,4,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0
0U5dM000000ECVISA4,2024-07-11,005dM000004WE3FQAW,Energy_Audit__c objectManager:lookupRedirect,2024-07-12T04:46:55Z,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0U5dM000000ECu0SAG,2024-07-11,005dM000004WE3FQAW,Account Record List,2024-07-12T04:46:55Z,5,11,5862,5,0,0,0,0,0,0,11,0,0,0,1,10,0,10,1,0
0U5dM000000ED93SAG,2024-07-11,005dM000004WE3FQAW,onesetup:setupAlohaPage,2024-07-12T04:46:55Z,5,7,8166,5,0,0,0,0,0,0,7,0,1,0,0,6,0,1,6,0
0U5dM000000EEN0SAO,2024-07-11,005dM000004WE3FQAW,Energy_Audit__c Record List,2024-07-12T04:46:55Z,4,5,5187,4,0,0,0,0,0,0,5,0,0,0,1,4,0,3,2,0
0U5dM000000EENGSA4,2024-07-11,005dM000004WE3FQAW,Contact Record,2024-07-12T04:46:55Z,2,5,3176,2,0,0,0,0,0,0,5,0,0,1,1,3,0,5,0,0
0U5dM000000EEp6SAG,2024-07-11,005dM000004WE3FQAW,ContentDocument Files,2024-07-12T04:46:55Z,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000EFTlSAO,2024-07-11,005dM000004WE3FQAW,Opportunity sfa:inspectionDesktopObjectHome,2024-07-12T04:46:55Z,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000EFreSAG,2024-07-11,005dM000004WE3FQAW,objectManager:setupAlohaPage,2024-07-12T04:46:55Z,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0U5dM000000EG4dSAG,2024-07-11,005dM000004WE3FQAW,setupnav:appManager,2024-07-12T04:46:55Z,1,1,3205,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000EIOXSA4,2024-07-11,005dM000004WE3FQAW,Energy_Audit__c one:recordActionWrapper,2024-07-12T04:46:55Z,2,5,5117,1,1,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0
0U5dM000000EIsSSAW,2024-07-11,005dM000004WE3FQAW,Home,2024-07-12T04:46:55Z,3,11,4727,3,0,0,0,0,0,0,11,0,0,0,0,11,0,10,1,0
0U5dM000000EJFiSAO,2024-07-11,005dM000004WE3FQAW,Opportunity one:recordActionWrapper,2024-07-12T04:46:55Z,1,1,4885,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000EJuzSAG,2024-07-11,005dM000004WE3FQAW,Contact one:recordActionWrapper,2024-07-12T04:46:55Z,1,1,1193,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000EJxLSAW,2024-07-11,005dM000004WE3FQAW,Account sfa:inspectionDesktopObjectHome,2024-07-12T04:46:55Z,0,7,0,0,0,0,0,0,0,0,7,0,0,0,1,6,0,6,1,0
0U5dM000000EJxzSAG,2024-07-11,005dM000004WE3FQAW,Opportunity Record List,2024-07-12T04:46:55Z,1,5,1694,1,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0
0U5dM000000EL0XSAW,2024-07-11,005dM000004WE3FQAW,Energy_Audit__c Record,2024-07-12T04:46:55Z,6,11,9386,5,1,0,0,0,0,0,11,0,0,0,2,9,0,7,4,0
0U5dM000000EL3WSAW,2024-07-11,005dM000004WE3FQAW,objectManager:objectList,2024-07-12T04:46:55Z,7,12,8133,7,0,0,0,0,0,0,12,0,1,2,0,9,0,10,2,0
0U5dM000000EL9WSAW,2024-07-11,005dM000004WE3FQAW,Energy_Audits__r Related Lists,2024-07-12T04:46:55Z,2,3,1411,2,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0
0U5dM000000EMmzSAG,2024-07-11,005dM000004WE3FQAW,Contact sfa:inspectionDesktopObjectHome,2024-07-12T04:46:55Z,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,3,0,0
0U5dM000000EOPrSAO,2024-07-11,005dM000004WE3FQAW,Account Record,2024-07-12T04:46:55Z,3,9,6187,3,0,0,0,0,0,0,9,0,0,0,0,9,0,9,0,0
0U5dM000000EQeuSAG,2024-07-11,005dM000004WE3FQAW,Contact runtime_pipeline_inspector:pipelineInspectorHome,2024-07-12T04:46:55Z,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,4,0,6,0,0
0U5dM000000ER39SAG,2024-07-11,005dM000004WE3FQAW,objectManager:objectDetailPage,2024-07-12T04:46:55Z,61,74,89262,58,3,0,0,0,0,0,74,0,3,1,13,57,0,55,19,0
0U5dM000000ES5MSAW,2024-07-11,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-12T04:46:55Z,7,13,10095,7,0,0,0,0,0,0,13,0,1,0,0,12,0,9,4,0
0U5dM000000ES79SAG,2024-07-11,005dM000004WE3FQAW,objectManager:lookupRedirect,2024-07-12T04:46:55Z,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0U5dM000000EVCUSA4,2024-07-12,005dM000004WE3FQAW,Contact runtime_pipeline_inspector:pipelineInspectorHome,2024-07-13T04:31:19Z,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
0U5dM000000EVlfSAG,2024-07-12,005dM000004WE3FQAW,trlhdtips__Install_a_Package Custom Lightning Component,2024-07-13T04:31:19Z,1,1,594,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0U5dM000000EXNnSAO,2024-07-12,005dM000004WE3FQAW,Contact sfa:inspectionDesktopObjectHome,2024-07-13T04:31:19Z,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000EYcHSAW,2024-07-12,005dM000004WE3FQAW,objectManager:objectDetailPage,2024-07-13T04:31:19Z,13,16,34414,11,1,0,1,0,0,0,16,0,0,0,3,13,0,16,0,0
0U5dM000000EYgSSAW,2024-07-12,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-13T04:31:19Z,2,5,1829,2,0,0,0,0,0,0,5,0,0,0,2,3,0,3,2,0
0U5dM000000EZCPSA4,2024-07-12,005dM000004WE3FQAW,objectManager:objectList,2024-07-13T04:31:19Z,2,2,2513,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
0U5dM000000EZvlSAG,2024-07-12,005dM000004WE3FQAW,runtime_iag_core:declarativePromptSetup,2024-07-13T04:31:19Z,1,2,1851,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0
0U5dM000000Ec1eSAC,2024-07-12,005dM000004WE3FQAW,Home,2024-07-13T04:31:19Z,0,6,0,0,0,0,0,0,0,0,6,0,2,0,4,0,0,0,6,0
0U5dM000000Ed2HSAS,2024-07-12,005dM000004WE3FQAW,onesetup:setupAlohaPage,2024-07-13T04:31:19Z,8,10,8771,8,0,0,0,0,0,0,10,0,0,0,3,7,0,7,3,0
0U5dM000000EdkpSAC,2024-07-12,005dM000004WE3FQAW,trlhdtips__Welcome Custom Lightning Component,2024-07-13T04:31:19Z,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0U5dM000000EdnESAS,2024-07-12,005dM000004WE3FQAW,objectManager:setupAlohaPage,2024-07-13T04:31:19Z,2,2,2027,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
0U5dM000000EeakSAC,2024-07-12,005dM000004WE3FQAW,Contact Record,2024-07-13T04:31:19Z,1,1,3234,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000EoXiSAK,2024-07-15,005dM000004WE3FQAW,LearningItem one:learningHomeTab,2024-07-16T04:41:07Z,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0U5dM000000EovhSAC,2024-07-15,005dM000004WE3FQAW,Report Builder,2024-07-16T04:41:07Z,8,11,26719,5,2,1,0,0,0,0,11,0,9,1,1,0,0,0,0,11
0U5dM000000EpKDSA0,2024-07-15,005dM000004WE3FQAW,Home,2024-07-16T04:41:07Z,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,1
0U5dM000000Eq67SAC,2024-07-15,005dM000004WE3FQAW,Dashboard,2024-07-16T04:41:07Z,2,3,1724,2,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,3
0U5dM000000EskxSAC,2024-07-15,005dM000004WE3FQAW,Dashboards,2024-07-16T04:41:07Z,3,3,2625,3,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,3
0U5dM000000EvW8SAK,2024-07-15,005dM000004WE3FQAW,Report,2024-07-16T04:41:07Z,5,14,5741,5,0,0,0,0,0,0,14,0,11,1,2,0,0,0,0,14
0U5dM000000F0sbSAC,2024-07-15,005dM000004WE3FQAW,Report Reports,2024-07-16T04:41:07Z,1,2,3719,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2
0U5dM000000F240SAC,2024-07-15,005dM000004WE3FQAW,unknown unknown,2024-07-16T04:41:07Z,0,6,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6
0U5dM000000F5lJSAS,2024-07-16,005dM000004WE3FQAW,onesetup:setupAlohaPage,2024-07-17T04:39:44Z,3,3,5737,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0
0U5dM000000F9paSAC,2024-07-16,005dM000004WE3FQAW,unknown unknown,2024-07-17T04:39:44Z,1,2,1511,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0
0U5dM000000FEfDSAW,2024-07-16,005dM000004WE3FQAW,objectManager:objectList,2024-07-17T04:39:44Z,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0U5dM000000FKyxSAG,2024-07-16,005dM000004WE3FQAW,objectManager:objectDetailPage,2024-07-17T04:39:44Z,2,3,3987,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0
0U5dM000000FM47SAG,2024-07-16,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-17T04:39:44Z,2,2,3068,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0
0U5dM000000FN9mSAG,2024-07-17,005dM000004WE3FQAW,Contact one:recordActionWrapper,2024-07-18T03:58:53Z,1,2,2948,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0
0U5dM000000FNClSAO,2024-07-17,005dM000004WE3FQAW,Opportunity Record List,2024-07-18T03:58:53Z,1,1,827,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0U5dM000000FOKxSAO,2024-07-17,005dM000004WE3FQAW,unknown unknown,2024-07-18T03:58:53Z,1,6,2874,1,0,0,0,0,0,0,6,0,0,3,3,0,0,3,3,0
0U5dM000000FQMiSAO,2024-07-17,005dM000004WE3FQAW,Report Builder,2024-07-18T03:58:53Z,1,1,2115,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0U5dM000000FR6eSAG,2024-07-17,005dM000004WE3FQAW,Opportunity one:recordActionWrapper,2024-07-18T03:58:53Z,1,2,1359,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0
0U5dM000000FRrJSAW,2024-07-17,005dM000004WE3FQAW,onesetup:setupAlohaPage,2024-07-18T03:58:53Z,1,1,1901,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0U5dM000000FT7rSAG,2024-07-17,005dM000004WE3FQAW,Contact Record,2024-07-18T03:58:53Z,1,1,1734,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0U5dM000000FUEiSAO,2024-07-17,005dM000004WE3FQAW,Opportunity sfa:inspectionDesktopObjectHome,2024-07-18T03:58:53Z,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0U5dM000000FUb9SAG,2024-07-17,005dM000004WE3FQAW,objectManager:setupAlohaPage,2024-07-18T03:58:53Z,1,1,850,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0U5dM000000FWC7SAO,2024-07-17,005dM000004WE3FQAW,Contact runtime_pipeline_inspector:pipelineInspectorHome,2024-07-18T03:58:53Z,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0
0U5dM000000FWaNSAW,2024-07-17,005dM000004WE3FQAW,objectManager:objectDetailPage,2024-07-18T03:58:53Z,30,33,29858,30,0,0,0,0,0,0,33,0,4,10,11,8,0,15,14,4
0U5dM000000FXbaSAG,2024-07-17,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-18T03:58:53Z,6,10,6924,6,0,0,0,0,0,0,10,0,0,7,2,1,0,3,7,0
0U5dM000000FZqpSAG,2024-07-17,005dM000004WE3FQAW,objectManager:objectList,2024-07-18T03:58:53Z,5,7,5577,5,0,0,0,0,0,0,7,0,1,2,3,1,0,3,3,1
0U5dM000000FbJUSA0,2024-07-17,005dM000004WE3FQAW,Report,2024-07-18T03:58:53Z,1,1,2570,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0U5dM000000FdEnSAK,2024-07-17,005dM000004WE3FQAW,Contact sfa:inspectionDesktopObjectHome,2024-07-18T03:58:53Z,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0
0U5dM000000FghQSAS,2024-07-18,005dM000004WE3FQAW,setup_platform_perms:psaResultPage,2024-07-19T03:47:19Z,1,1,442,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0U5dM000000FhopSAC,2024-07-18,005dM000004WE3FQAW,objectManager:objectList,2024-07-19T03:47:19Z,2,2,2690,2,0,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0
0U5dM000000FjS4SAK,2024-07-18,005dM000004WE3FQAW,unknown unknown,2024-07-19T03:47:19Z,3,5,12155,0,2,1,0,0,0,0,5,0,0,0,2,3,0,4,1,0
0U5dM000000Fm8FSAS,2024-07-18,005dM000004WE3FQAW,setup_platform_perms:userManagementSettings,2024-07-19T03:47:19Z,2,3,2497,2,0,0,0,0,0,0,3,0,3,0,0,0,0,1,2,0
0U5dM000000FnUoSAK,2024-07-18,005dM000004WE3FQAW,PermissionSet setup_platform_perms:manageAssignmentsPage,2024-07-19T03:47:19Z,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0U5dM000000FnrhSAC,2024-07-18,005dM000004WE3FQAW,PermissionSet setup_platform_perms:currentAssignmentsPage,2024-07-19T03:47:19Z,2,2,2982,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0
0U5dM000000Fo45SAC,2024-07-18,005dM000004WE3FQAW,objectManager:objectDetailPage,2024-07-19T03:47:19Z,9,9,15305,9,0,0,0,0,0,0,9,0,1,5,0,3,0,3,5,1
0U5dM000000Fp8CSAS,2024-07-18,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-19T03:47:19Z,12,14,18492,11,1,0,0,0,0,0,14,0,7,0,2,5,0,9,5,0
0U5dM000000FrwHSAS,2024-07-18,005dM000004WE3FQAW,onesetup:setupAlohaPage,2024-07-19T03:47:19Z,102,116,218719,86,14,2,0,0,0,0,116,0,49,0,9,58,0,25,87,4
0U5dM000000FutPSAS,2024-07-18,005dM000004WE3FQAW,objectManager:setupAlohaPage,2024-07-19T03:47:19Z,1,1,1302,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000Fw27SAC,2024-07-19,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-20T04:20:06Z,3,4,4442,3,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0
0U5dM000000FyZPSA0,2024-07-19,005dM000004WE3FQAW,unknown unknown,2024-07-20T04:20:06Z,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
0U5dM000000G133SAC,2024-07-19,005dM000004WE3FQAW,onesetup:setupAlohaPage,2024-07-20T04:20:06Z,15,24,44539,9,4,2,0,0,0,0,24,0,0,0,0,24,0,24,0,0
0U5dM000000G1ODSA0,2024-07-19,005dM000004WE3FQAW,setup_platform_perms:userManagementSettings,2024-07-20T04:20:06Z,1,4,1508,1,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0
0U5dM000000GPu6SAG,2024-07-22,005dM000004WE3FQAW,objectManager:objectDetailPage,2024-07-23T03:42:39Z,17,20,18955,17,0,0,0,0,0,0,20,0,3,8,0,9,0,9,8,3
0U5dM000000GRq8SAG,2024-07-22,005dM000004WE3FQAW,objectManager:objectList,2024-07-23T03:42:39Z,3,4,3127,3,0,0,0,0,0,0,4,0,0,2,0,2,0,1,3,0
0U5dM000000GW84SAG,2024-07-22,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-23T03:42:39Z,5,6,5235,5,0,0,0,0,0,0,6,0,0,1,1,4,0,5,1,0
0U5dM000000Gb8BSAS,2024-07-22,005dM000004WE3FQAW,unknown unknown,2024-07-23T03:42:39Z,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,2,1,0
0U5dM000000Ge0hSAC,2024-07-22,005dM000004WE3FQAW,setup_platform_perms:userManagementSettings,2024-07-23T03:42:39Z,1,1,761,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000GeBcSAK,2024-07-22,005dM000004WE3FQAW,onesetup:setupAlohaPage,2024-07-23T03:42:39Z,37,42,30025,37,0,0,0,0,0,0,42,0,0,0,3,39,0,40,2,0
0U5dM000000GfnCSAS,2024-07-22,005dM000004WE3FQAW,objectManager:setupAlohaPage,2024-07-23T03:42:39Z,1,1,888,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000GfvZSAS,2024-07-23,005dM000004WE3FQAW,Report,2024-07-24T03:40:36Z,3,3,4680,3,0,0,0,0,0,0,3,0,0,0,1,2,0,3,0,0
0U5dM000000GgQDSA0,2024-07-23,005dM000004WE3FQAW,Account Record,2024-07-24T03:40:36Z,7,9,15144,6,1,0,0,0,0,0,9,0,0,0,0,9,0,5,4,0
0U5dM000000Gh9oSAC,2024-07-23,005dM000004WE3FQAW,Project__c one:recordActionWrapper,2024-07-24T03:40:36Z,1,2,3023,0,1,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
0U5dM000000GhzwSAC,2024-07-23,005dM000004WE3FQAW,Dashboards,2024-07-24T03:40:36Z,2,2,940,2,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0
0U5dM000000Gi3XSAS,2024-07-23,005dM000004WE3FQAW,Report Report Builder,2024-07-24T03:40:36Z,2,2,5169,2,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0
0U5dM000000Gi9DSAS,2024-07-23,005dM000004WE3FQAW,Account sfa:inspectionDesktopObjectHome,2024-07-24T03:40:36Z,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
0U5dM000000GjIhSAK,2024-07-23,005dM000004WE3FQAW,objectManager:objectList,2024-07-24T03:40:36Z,9,10,11922,9,0,0,0,0,0,0,10,0,1,0,2,7,0,7,3,0
0U5dM000000Gkw2SAC,2024-07-23,005dM000004WE3FQAW,unknown unknown,2024-07-24T03:40:36Z,1,3,3256,0,1,0,0,0,0,0,3,0,1,0,0,2,0,2,1,0
0U5dM000000GnE6SAK,2024-07-23,005dM000004WE3FQAW,process_home:flowListView,2024-07-24T03:40:36Z,1,2,1890,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0
0U5dM000000GoTESA0,2024-07-23,005dM000004WE3FQAW,Suggestion__c one:recordActionWrapper,2024-07-24T03:40:36Z,4,8,2679,4,0,0,0,0,0,0,8,0,1,2,2,3,0,0,8,0
0U5dM000000GpF3SAK,2024-07-23,005dM000004WE3FQAW,Projects__r Related Lists,2024-07-24T03:40:36Z,1,1,256,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000GqHLSA0,2024-07-23,005dM000004WE3FQAW,Opportunity Record,2024-07-24T03:40:36Z,1,1,3739,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0U5dM000000Gr1ESAS,2024-07-23,005dM000004WE3FQAW,objectManager:objectDetailPage,2024-07-24T03:40:36Z,41,57,62869,40,1,0,0,0,0,0,57,0,4,6,5,42,0,41,16,0
0U5dM000000GrhZSAS,2024-07-23,005dM000004WE3FQAW,Report Reports,2024-07-24T03:40:36Z,1,3,2297,1,0,0,0,0,0,0,3,0,0,0,2,1,0,2,1,0
0U5dM000000Gs6mSAC,2024-07-23,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-24T03:40:36Z,8,14,6175,8,0,0,0,0,0,0,14,0,2,1,2,9,0,7,6,1
0U5dM000000Gt45SAC,2024-07-23,005dM000004WE3FQAW,Account Record List,2024-07-24T03:40:36Z,2,5,2770,2,0,0,0,0,0,0,5,0,0,0,0,5,0,4,1,0
0U5dM000000GtEWSA0,2024-07-23,005dM000004WE3FQAW,Suggestion__c Record List,2024-07-24T03:40:36Z,4,14,5386,4,0,0,0,0,0,0,14,0,1,3,4,6,0,0,14,0
0U5dM000000GtJzSAK,2024-07-23,005dM000004WE3FQAW,onesetup:setupAlohaPage,2024-07-24T03:40:36Z,26,43,32362,26,0,0,0,0,0,0,43,0,2,0,4,37,0,34,8,1
0U5dM000000GtNOSA0,2024-07-23,005dM000004WE3FQAW,Report Builder,2024-07-24T03:40:36Z,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0U5dM000000GtgFSAS,2024-07-23,005dM000004WE3FQAW,Suggestion__c Record,2024-07-24T03:40:36Z,1,1,1087,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0U5dM000000GtnrSAC,2024-07-23,005dM000004WE3FQAW,Account one:recordActionWrapper,2024-07-24T03:40:36Z,1,2,2357,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
0U5dM000000Gub5SAC,2024-07-23,005dM000004WE3FQAW,Dashboard,2024-07-24T03:40:36Z,5,7,6256,5,0,0,0,0,0,0,7,0,2,0,2,3,0,4,3,0
0U5dM000000GwcySAC,2024-07-23,005dM000004WE3FQAW,objectManager:setupAlohaPage,2024-07-24T03:40:36Z,3,5,3789,3,0,0,0,0,0,0,5,0,0,1,1,3,0,1,4,0
0U5dM000000GwtESAS,2024-07-23,005dM000004WE3FQAW,setupnav:appManager,2024-07-24T03:40:36Z,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0U5dM000000GySqSAK,2024-07-24,005dM000004WE3FQAW,trlhdtips__Install_a_Package Custom Lightning Component,2024-07-25T03:51:05Z,1,1,585,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000Gzt2SAC,2024-07-24,005dM000004WE3FQAW,onesetup:baseHomePage,2024-07-25T03:51:05Z,1,1,940,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
