Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Priority__c,Account__c,End_Date__c,Start_Date__c,Customer_Account__c,Budget__c
a06dM00000434fuQAA,005dM000004WE3FQAW,False,Project Yosemite5,1725872547000,005dM000004WE3FQAW,1725872547000,005dM000004WE3FQAW,1725872547000,,,,,001dM00000TNbfhQAD,
a06dM00000434mrQAA,005dM000004WE3FQAW,False,Project Yosemite4,1725872638000,005dM000004WE3FQAW,1725872638000,005dM000004WE3FQAW,1725872638000,,,,,001dM00000TN7oVQAT,
a06dM00000435NSQAY,005dM000004WE3FQAW,False,Project Yosemite2,1725875607000,005dM000004WE3FQAW,1725875607000,005dM000004WE3FQAW,1725875607000,,,,,001dM00000TNzVmQAL,
a06dM00000435VWQAY,005dM000004WE3FQAW,False,Project YellowStone,1725872952000,005dM000004WE3FQAW,1725872952000,005dM000004WE3FQAW,1725872952000,High,,2024-10-24,2024-09-09,,
a06dM00000435qTQAQ,005dM000004WE3FQAW,False,Project Yosemite2,1725872546000,005dM000004WE3FQAW,1725872546000,005dM000004WE3FQAW,1725872546000,,,,,001dM00000TNbFtQAL,
a06dM00000435vJQAQ,005dM000004WE3FQAW,False,Project Yosemite3,1725872547000,005dM000004WE3FQAW,1725872547000,005dM000004WE3FQAW,1725872547000,,,,,001dM00000TNWjGQAX,
a06dM000004364zQAA,005dM000004WE3FQAW,False,Project Yosemite1,1725872637000,005dM000004WE3FQAW,1725872637000,005dM000004WE3FQAW,1725872637000,,,,,001dM00000TNWswQAH,
a06dM000004366bQAA,005dM000004WE3FQAW,False,Project Yosemite2,1725872637000,005dM000004WE3FQAW,1725872637000,005dM000004WE3FQAW,1725872637000,,,,,001dM00000TN4cLQAT,
a06dM000004368DQAQ,005dM000004WE3FQAW,False,Project Yosemite3,1725872637000,005dM000004WE3FQAW,1725872637000,005dM000004WE3FQAW,1725872637000,,,,,001dM00000TMyHnQAL,
a06dM000004369pQAA,005dM000004WE3FQAW,False,Project Yosemite5,1725872638000,005dM000004WE3FQAW,1725872638000,005dM000004WE3FQAW,1725872638000,,,,,001dM00000TNLcZQAX,
a06dM00000436GqQAI,005dM000004WE3FQAW,False,Project Yosemite5,1725875500000,005dM000004WE3FQAW,1725875500000,005dM000004WE3FQAW,1725875500000,Medium,,2020-10-01,2020-05-15,001dM00000TN4rqQAD,300000.0
a06dM00000436PyQAI,005dM000004WE3FQAW,False,Project YellowStone,1725872932000,005dM000004WE3FQAW,1725872932000,005dM000004WE3FQAW,1725872932000,High,,2024-10-24,2024-09-09,,
a06dM00000436plQAA,005dM000004WE3FQAW,False,Project Yosemite1,1725872933000,005dM000004WE3FQAW,1725872933000,005dM000004WE3FQAW,1725872933000,,,,,001dM00000TNgXJQA1,
a06dM00000436rNQAQ,005dM000004WE3FQAW,False,Project Yosemite3,1725872933000,005dM000004WE3FQAW,1725872933000,005dM000004WE3FQAW,1725872933000,,,,,001dM00000TMDNxQAP,
a06dM00000436rOQAQ,005dM000004WE3FQAW,False,Project Yosemite5,1725873339000,005dM000004WE3FQAW,1725873339000,005dM000004WE3FQAW,1725873339000,Medium,,2020-10-01,2020-05-15,001dM00000TNkO1QAL,300000.0
a06dM00000436szQAA,005dM000004WE3FQAW,False,Project Yosemite4,1725872934000,005dM000004WE3FQAW,1725872934000,005dM000004WE3FQAW,1725872934000,,,,,001dM00000TNHzMQAX,
a06dM00000436ubQAA,005dM000004WE3FQAW,False,Project Yosemite5,1725872934000,005dM000004WE3FQAW,1725872934000,005dM000004WE3FQAW,1725872934000,Medium,,2020-10-01,2020-05-15,001dM00000TNgXKQA1,300000.0
a06dM00000436udQAA,005dM000004WE3FQAW,False,Project YellowStone,1725875391000,005dM000004WE3FQAW,1725875391000,005dM000004WE3FQAW,1725875391000,High,,2024-10-24,2024-09-09,,
a06dM00000436zRQAQ,005dM000004WE3FQAW,False,Project Yosemite1,1725872953000,005dM000004WE3FQAW,1725872953000,005dM000004WE3FQAW,1725872953000,,,,,001dM00000TNaepQAD,
a06dM0000043713QAA,005dM000004WE3FQAW,False,Project Yosemite2,1725872953000,005dM000004WE3FQAW,1725872953000,005dM000004WE3FQAW,1725872953000,,,,,001dM00000TNdxeQAD,
a06dM000004372fQAA,005dM000004WE3FQAW,False,Project Yosemite3,1725872954000,005dM000004WE3FQAW,1725872954000,005dM000004WE3FQAW,1725872954000,,,,,001dM00000TNEw5QAH,
a06dM000004374HQAQ,005dM000004WE3FQAW,False,Project Yosemite5,1725872954000,005dM000004WE3FQAW,1725872954000,005dM000004WE3FQAW,1725872954000,Medium,,2020-10-01,2020-05-15,001dM00000TNf0AQAT,300000.0
a06dM0000043797QAA,005dM000004WE3FQAW,False,Project YellowStone,1725873012000,005dM000004WE3FQAW,1725873012000,005dM000004WE3FQAW,1725873012000,High,,2024-10-24,2024-09-09,,
a06dM0000043798QAA,005dM000004WE3FQAW,False,Project Yosemite2,1725875499000,005dM000004WE3FQAW,1725875499000,005dM000004WE3FQAW,1725875499000,,,,,001dM00000TO3PQQA1,
a06dM00000437AjQAI,005dM000004WE3FQAW,False,Project Yosemite1,1725873013000,005dM000004WE3FQAW,1725873013000,005dM000004WE3FQAW,1725873013000,,,,,001dM00000TNh1xQAD,
a06dM00000437CLQAY,005dM000004WE3FQAW,False,Project Yosemite4,1725873014000,005dM000004WE3FQAW,1725873014000,005dM000004WE3FQAW,1725873014000,,,,,001dM00000TNMYeQAP,
a06dM00000437DyQAI,005dM000004WE3FQAW,False,Project Yosemite2,1725873338000,005dM000004WE3FQAW,1725873338000,005dM000004WE3FQAW,1725873338000,,,,,001dM00000TNZqpQAH,
a06dM00000437T0QAI,005dM000004WE3FQAW,False,Project Yosemite1,1725875392000,005dM000004WE3FQAW,1725875392000,005dM000004WE3FQAW,1725875392000,,,,,001dM00000TO4plQAD,
a06dM000004381xQAA,005dM000004WE3FQAW,False,Project YellowStone,1725873337000,005dM000004WE3FQAW,1725873337000,005dM000004WE3FQAW,1725873337000,High,,2024-10-24,2024-09-09,,
a06dM000004383ZQAQ,005dM000004WE3FQAW,False,Project Yosemite1,1725873338000,005dM000004WE3FQAW,1725873338000,005dM000004WE3FQAW,1725873338000,,,,,001dM00000TNKN8QAP,
a06dM000004386nQAA,005dM000004WE3FQAW,False,Project Yosemite3,1725873338000,005dM000004WE3FQAW,1725873338000,005dM000004WE3FQAW,1725873338000,,,,,001dM00000TNAHKQA5,
a06dM000004388PQAQ,005dM000004WE3FQAW,False,Project Yosemite4,1725873339000,005dM000004WE3FQAW,1725873339000,005dM000004WE3FQAW,1725873339000,,,,,001dM00000TNXxEQAX,
a06dM00000439wDQAQ,005dM000004WE3FQAW,False,Project Yosemite5,1725875393000,005dM000004WE3FQAW,1725875393000,005dM000004WE3FQAW,1725875393000,Medium,,2020-10-01,2020-05-15,001dM00000TLwhrQAD,300000.0
a06dM0000043BuIQAU,005dM000004WE3FQAW,False,Project Yosemite1,1725875499000,005dM000004WE3FQAW,1725875499000,005dM000004WE3FQAW,1725875499000,,,,,001dM00000TO5b6QAD,
a06dM0000043CNJQA2,005dM000004WE3FQAW,False,Project Yosemite2,1725875392000,005dM000004WE3FQAW,1725875392000,005dM000004WE3FQAW,1725875392000,,,,,001dM00000TNeAwQAL,
a06dM0000043COvQAM,005dM000004WE3FQAW,False,Project Yosemite3,1725875393000,005dM000004WE3FQAW,1725875393000,005dM000004WE3FQAW,1725875393000,,,,,001dM00000TNadHQAT,
a06dM0000043CQXQA2,005dM000004WE3FQAW,False,Project Yosemite4,1725875393000,005dM000004WE3FQAW,1725875393000,005dM000004WE3FQAW,1725875393000,,,,,001dM00000TO4rNQAT,
a06dM0000043CbpQAE,005dM000004WE3FQAW,False,Project YellowStone,1725875498000,005dM000004WE3FQAW,1725875498000,005dM000004WE3FQAW,1725875498000,High,,2024-10-24,2024-09-09,,
a06dM0000043CdRQAU,005dM000004WE3FQAW,False,Project Yosemite4,1725875499000,005dM000004WE3FQAW,1725875499000,005dM000004WE3FQAW,1725875499000,,,,,001dM00000TNwc7QAD,
a06dM0000043CgfQAE,005dM000004WE3FQAW,False,Project YellowStone,1725875606000,005dM000004WE3FQAW,1725875606000,005dM000004WE3FQAW,1725875606000,High,,2024-10-24,2024-09-09,,
a06dM0000043CiHQAU,005dM000004WE3FQAW,False,Project Yosemite1,1725875607000,005dM000004WE3FQAW,1725875607000,005dM000004WE3FQAW,1725875607000,,,,,001dM00000TNtHYQA1,
a06dM0000043CjtQAE,005dM000004WE3FQAW,False,Project Yosemite3,1725875608000,005dM000004WE3FQAW,1725875608000,005dM000004WE3FQAW,1725875608000,,,,,001dM00000TO6BeQAL,
a06dM0000043ClVQAU,005dM000004WE3FQAW,False,Project Yosemite4,1725875608000,005dM000004WE3FQAW,1725875608000,005dM000004WE3FQAW,1725875608000,,,,,001dM00000TNylyQAD,
a06dM0000043Cn7QAE,005dM000004WE3FQAW,False,Project Yosemite5,1725875608000,005dM000004WE3FQAW,1725875608000,005dM000004WE3FQAW,1725875608000,Medium,,2020-10-01,2020-05-15,001dM00000TO6l7QAD,300000.0
